/Users/ggarcia/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Loading environment variables from .env file in $HOME/.sfdc...
Connected to Salesforce successfully!
Start Date: 2024-09-16
End Date: 2024-09-30
Current Quarter: Q3
SOQL Query: 
    SELECT Name, Amount, CloseDate, ForecastCategoryName, Owner_Area__c, Distributor__c, StageName, IsClosed
    FROM Opportunity
    WHERE CloseDate >= 2024-09-16 
    AND CloseDate <= 2024-09-30
    AND IsClosed = False
    AND Owner_Area__c LIKE '%SOLA%'
    ORDER BY CloseDate ASC
    
Total records retrieved: 849
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-RNW-BOLSA-W38 SEPTIEMBRE 16, CloseDate: 2024-09-16, Area: SOLA - Colombia, Amount: 1595.0
Distributor: a0N3400000LcbhyEAB, Opportunity: TCCT_Telefonica Empresas Chile-Clinica U. Concepcion, CloseDate: 2024-09-17, Area: SOLA - Chile, Amount: 648.0
Distributor: a0N3400000LcbcZEAR, Opportunity: Stock -  SDWAN CLARO, CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 25687.0
Distributor: a0N8000000Ajer4EAB, Opportunity: Q3-FY24-RNW-MUNICIPALIDAD PROVINCIAL DE HUAMANGA, CloseDate: 2024-09-17, Area: SOLA - Peru, Amount: 1323.126
Distributor: a0N3400000LcbceEAB, Opportunity: Q3-FY24-RNW-Ecopacking Clamshells S.A.-W38, CloseDate: 2024-09-17, Area: SOLA - Peru, Amount: 1209.72
Distributor: a0N3400000TSoY4EAL, Opportunity: UNIVERSIDAD DEL SINU-FortiSwitch, CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 7528.89
Distributor: a0N3400000Psy93EAB, Opportunity: Q4-FY24-Renewal-Prime Energia Colombia SAS ver1, CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 5463.45
Distributor: a0N3400000LcbcjEAB, Opportunity: TCCT_Telefonica Empresas Chile_Lic, CloseDate: 2024-09-17, Area: SOLA - Chile, Amount: 8141.32
Distributor: a0N3400000TSoY4EAL, Opportunity: Q3-FY24-RNW-TELEMED SOLUCIONES YOUTECHSUPPORT SEPTIEMBRE 17, CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 2860.64
Distributor: a0N3400000LcbcUEAR, Opportunity: Puntonet / Totem Humanitas / solo FG, CloseDate: 2024-09-17, Area: SOLA - Ecuador, Amount: 4989.6
Distributor: a0N3400000LcbhyEAB, Opportunity: TCCT_Telefonica Empresas Chile_Varios, CloseDate: 2024-09-17, Area: SOLA - Chile, Amount: 2517.16
Distributor: a0N3400000TSnDvEAL, Opportunity: IFX Networks Chile S.A.-IFX_Lic, CloseDate: 2024-09-17, Area: SOLA - Chile, Amount: 1134.0
Distributor: a0N800000069gpPEAQ, Opportunity: Q3-FY24-RNWL-Instituto de Vivienda de Corrientes-CM-ARG1, CloseDate: 2024-09-17, Area: SOLA - Argentina, Amount: 2646.0
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-RNWL-Allkom S.A.-BOLSA WEEK 38-CM-ARG2, CloseDate: 2024-09-17, Area: SOLA - Argentina, Amount: 2000.0
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-FY24-RNW - ECOOPSOS EPS -, CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 1800.0
Distributor: a0N3400000TSoUvEAL, Opportunity: Q4-FY24-RNW-SEGUROS CARACAS LIBERTY MUTUAL, CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 5272.21
Distributor: a0N3400000TSoY4EAL, Opportunity: CANACOL ENERGY-Switches y FAZ, CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 28565.59
Distributor: a0N2H00000VO1GxUAL, Opportunity: Q3-FY23-RNW-BOLSA-DIGIWEB, CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 4500.0
Distributor: a0N3400000LcbcjEAB, Opportunity: Q2-FY24-RNW-BolsaW38, CloseDate: 2024-09-17, Area: SOLA - Chile, Amount: 4527.0
Distributor: a0N8000000Ajer4EAB, Opportunity: FortiEDR - Claro MSSP PAYG, CloseDate: 2024-09-17, Area: SOLA - Peru, Amount: 25000.0
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-FY24-RNW - UNIVERSIDAD COOPERATIVA DE COLOMBIA - JGZ, CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 1800.0
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-Renewal-HOSPITAL GARRAHAN-CM-ARG2, CloseDate: 2024-09-17, Area: SOLA - Argentina, Amount: 5560.44
Distributor: a0N3400000TSoY4EAL, Opportunity: Q3-FY24-Renewal-Clinica Barraquer (Named/C/AMR), CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 9334.024
Distributor: None, Opportunity: Q3-FY24-Renewal-ESE RED DE SERVICIOS DE SALUD DE PRIMER NIVEL GUAVIARE (Named/G/RMD), CloseDate: 2024-09-17, Area: SOLA - Colombia, Amount: 1255.1
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-2024-Renewal-Ministerio de Comercio Industria y Turismo (Gov-EL) NAMED ACCOUNT, CloseDate: 2024-09-18, Area: SOLA - Colombia, Amount: 7510.6
Distributor: a0N30000000WGdSEAW, Opportunity: SLyT/ DACAS/ PRO Adv Services y Manager, CloseDate: 2024-09-18, Area: SOLA - Argentina, Amount: 133034.26
Distributor: a0N3400000TSoUvEAL, Opportunity: GZ // Q2-2024-Renewal-Secretaria Legal y TÃ©cnica - FGs, CloseDate: 2024-09-18, Area: SOLA - Argentina, Amount: 105686.16
Distributor: a0N3400000Psy93EAB, Opportunity: Telefónica-XSelling-Covisian, CloseDate: 2024-09-18, Area: SOLA - Colombia, Amount: 58381.26
Distributor: a0N3400000LcbceEAB, Opportunity: Agencia de Promoción de la Inversión Privado - PROINVERSION- FW - FWEB - FAZ, CloseDate: 2024-09-18, Area: SOLA - Peru, Amount: 42612.71
Distributor: a0N3400000TSoY4EAL, Opportunity: Nutresa NOVAVENTA EL CARMEN-SENCINET-DACAS, CloseDate: 2024-09-18, Area: SOLA - Colombia, Amount: 4339.8
Distributor: a0N3400000LcbcUEAR, Opportunity: Telalca-Sager del Ecuador-1xFC-10-0040F-950-02-36, CloseDate: 2024-09-18, Area: SOLA - Ecuador, Amount: 654.9
Distributor: a0N800000067B0yEAE, Opportunity: Tigo Bolivia-Stock First order, CloseDate: 2024-09-18, Area: SOLA - BPUV, Amount: 12031.2
Distributor: a0N2H000007lgX2UAI, Opportunity: Q3-FY24-RNW-Intertelnet | NN, CloseDate: 2024-09-18, Area: SOLA - Ecuador, Amount: 829.37
Distributor: a0N3400000TSnEAEA1, Opportunity: Binaria-Consorcio del Pichincha-1xFC-10-F431F-247-02-12, CloseDate: 2024-09-18, Area: SOLA - Ecuador, Amount: 46.2
Distributor: a0N3400000LcbcUEAR, Opportunity: Telalca-Exportquilsa-1x, CloseDate: 2024-09-18, Area: SOLA - Ecuador, Amount: 145.5
Distributor: a0N2H000007lgX2UAI, Opportunity: GreenDc-GreeDC-1xNSE-EX-FTE4, CloseDate: 2024-09-18, Area: SOLA - Ecuador, Amount: 400.0
Distributor: a0N3400000TSnEAEA1, Opportunity: Linesolutions-LineSolutions-1xFC-10-0040F-950-02-12, CloseDate: 2024-09-18, Area: SOLA - Ecuador, Amount: 242.6
Distributor: a0N3400000TSoUvEAL, Opportunity: BOL-DIMA INFRA ver1, CloseDate: 2024-09-18, Area: SOLA - BPUV, Amount: 20066.23
Distributor: a0N3400000LcbcUEAR, Opportunity: Telalca-PUCE Santo Domingo-1xFC-10-S124F-247-02-12, CloseDate: 2024-09-18, Area: SOLA - Ecuador, Amount: 111.7
Distributor: a0N3400000Tx4Z2EAJ, Opportunity: Private Offer - FortiFlex - AWS - RENEWAL - VANTI S, CloseDate: 2024-09-18, Area: SOLA - Colombia, Amount: 7742.82
Distributor: a0N3400000TSoY9EAL, Opportunity: Fiberlux - Programa Aurora - FML, CloseDate: 2024-09-18, Area: SOLA - Peru, Amount: 11872.52
Distributor: a0N3400000TSoUvEAL, Opportunity: Ende Coporacion-FW GoIT, CloseDate: 2024-09-18, Area: SOLA - BPUV, Amount: 31474.58
Distributor: a0N3400000LcbceEAB, Opportunity: Q2-FY24-RNW-GRUPO TRANSMERIDIAN, CloseDate: 2024-09-18, Area: SOLA - Peru, Amount: 7879.45
Distributor: a0N3400000LcbcZEAR, Opportunity: RNWL/WIFI-ZTNA/ IDIGER/ EYC, CloseDate: 2024-09-18, Area: SOLA - Colombia, Amount: 12518.7
Distributor: a0N3400000TSoY4EAL, Opportunity: TLF HOPA, CloseDate: 2024-09-18, Area: SOLA - Colombia, Amount: 19026.9
Distributor: a0N3400000Psy93EAB, Opportunity: ISA- SASE POC 100 Usuarios, CloseDate: 2024-09-18, Area: SOLA - Colombia, Amount: 10000.6
Distributor: a0N3400000LcbcZEAR, Opportunity: Q2-FY24-Cross Sell-IDIGER - INSTITUTO DISTRITAL DE GESTION DE RIESGO Y CAMBIO CLIMATICO (Named/G/JaiMej), CloseDate: 2024-09-18, Area: SOLA - Colombia, Amount: 13882.54
Distributor: a0N3400000LcbceEAB, Opportunity: Senati - Refresh FG-601F- Sede Central, CloseDate: 2024-09-18, Area: SOLA - Peru, Amount: 27296.87
Distributor: a0N3400000TSoY9EAL, Opportunity: Congreso de la República- FORTIMAIL - WAF - ITEM 2, CloseDate: 2024-09-18, Area: SOLA - Peru, Amount: 34720.0
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-Renewal-HOSPITAL ROSARIO LOPEZ PUMAREJO, CloseDate: 2024-09-18, Area: SOLA - Colombia, Amount: 2716.714
Distributor: None, Opportunity: Riopaila Castilla/OT, CloseDate: 2024-09-19, Area: SOLA - Colombia, Amount: 11310.0
Distributor: a0N3400000LcbcZEAR, Opportunity: Grupo ISA - Intercolombia-Seguridad para Red OT - Subestaciones (segunda etapa)  Transelca, CloseDate: 2024-09-19, Area: SOLA - Colombia, Amount: 8736.6
Distributor: a0N800000067B0yEAE, Opportunity: ALIANZA COMPAÑÍA DE SEGUROS S.A.-REplace Cisco FW, CloseDate: 2024-09-19, Area: SOLA - BPUV, Amount: 28374.1
Distributor: a0N800000067B0yEAE, Opportunity: YPFB Transporte-PRoxsy TECLU, CloseDate: 2024-09-19, Area: SOLA - BPUV, Amount: 52212.65
Distributor: a0N3400000Tx4Z2EAJ, Opportunity: LN | CloudPiles | Renewal + FortiWeb, CloseDate: 2024-09-19, Area: SOLA - Argentina, Amount: 4900.0
Distributor: a0N3400000TSnEAEA1, Opportunity: Seyton - GAD MUINICIPAL PEDRO MONCAYO - FG - FSwitch, CloseDate: 2024-09-19, Area: SOLA - Ecuador, Amount: 1459.58
Distributor: a0N3400000LcbcUEAR, Opportunity: Puntonet / Procamaronex / FGate y FSwitch, CloseDate: 2024-09-19, Area: SOLA - Ecuador, Amount: 4241.16
Distributor: a0N3400000TSoUvEAL, Opportunity: Embotelladoras Bolivianas Unidas S.A.-WAF, CloseDate: 2024-09-19, Area: SOLA - BPUV, Amount: 11150.4
Distributor: a0N3400000TSoY4EAL, Opportunity: ODL - FortiGSLB, CloseDate: 2024-09-19, Area: SOLA - Colombia, Amount: 1054.5
Distributor: a0N3400000TSoUvEAL, Opportunity: 202408 EMZT - DACAS  - EDR MSSP Additional seats  (1287), CloseDate: 2024-09-19, Area: SOLA - Argentina, Amount: 1763.19
Distributor: a0N2H00000VO1GxUAL, Opportunity: Q2-FY24-RNW-UENO, CloseDate: 2024-09-19, Area: SOLA - BPUV, Amount: 16134.97
Distributor: a0N3400000TSoUvEAL, Opportunity: 202408 EMZT - DACAS  - SIEM MSSP  monthy (2nd year - 2nd month), CloseDate: 2024-09-19, Area: SOLA - Argentina, Amount: 749.45
Distributor: a0N30000000WGdSEAW, Opportunity: SSeguros Nacion - ACSYS - Switches, CloseDate: 2024-09-19, Area: SOLA - Argentina, Amount: 50121.47
Distributor: a0N3400000Tx4Z2EAJ, Opportunity: Despegar | Private Offer FortiFlex - AWS | FortiFlex, CloseDate: 2024-09-19, Area: SOLA - Argentina, Amount: 25134.39
Distributor: a0N3400000LcbceEAB, Opportunity: SEDAPAL - SERVICIO DE COMUNICACIÓN DE DATOS DE INTERNET PARA LOS 7 CENTROS DE SERVICIOS, CloseDate: 2024-09-19, Area: SOLA - Peru, Amount: 27059.9
Distributor: a0N3400000Psy93EAB, Opportunity: Fase 1-OT-Aguas de Manizales-FGs, CloseDate: 2024-09-19, Area: SOLA - Colombia, Amount: 16774.5
Distributor: a0N3400000LcbceEAB, Opportunity: OSCE - INTERNET ALTERNO, CloseDate: 2024-09-19, Area: SOLA - Peru, Amount: 9372.0
Distributor: a0N3400000TSoY4EAL, Opportunity: COMFACOR-SDWAN+FWEB+EDR+FMAIL, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 88561.42
Distributor: a0N3400000Psy93EAB, Opportunity: Fase 1 MFA / FAZ, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 12052.37
Distributor: a0N30000000WGdSEAW, Opportunity: MONTEMAR CIA.FIN. S.A.-CLoud Protecion, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 21149.57
Distributor: a0N8000000Ajer4EAB, Opportunity: Ejercito del Peru - Next Gen SOC + FW + FORTIMAIL + RECON, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 375986.55
Distributor: a0N2H00000VO1GxUAL, Opportunity: PY _ BIGQ _ BLEND AGRISCIENCE PARAGUAY _ FG&FS&FAP&FNAC&FAZ&FEDR, CloseDate: 2024-09-20, Area: SOLA - BPUV, Amount: 134316.46
Distributor: a0N3400000TSoY9EAL, Opportunity: GTD - INS, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 462017.09
Distributor: a0N800000069gpPEAQ, Opportunity: Security Logic/ COOP SAN FRANCISCO / SDWAN, CloseDate: 2024-09-20, Area: SOLA - Ecuador, Amount: 18050.01
Distributor: a0N3400000LcbcZEAR, Opportunity: EA - Media Commerce Third Year, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 342560.0
Distributor: a0N800000067B0yEAE, Opportunity: PY _ TEISA _ Bristol _ FG & FS & FAZ, CloseDate: 2024-09-20, Area: SOLA - BPUV, Amount: 19711.18
Distributor: a0N3400000TSoY4EAL, Opportunity: NGSOC, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 166676.64
Distributor: a0N3400000TSoUqEAL, Opportunity: Minerva Foods_Logicalis_FG Frig Carrasco, CloseDate: 2024-09-20, Area: SOLA - BPUV, Amount: 31994.72
Distributor: a0N3400000LcbcZEAR, Opportunity: GRUPO ORTIZ - FASE 2-INFOCOMUNICACIONES - ADISTEC - SDWAN, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 21067.2
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-FY24-New Business-SUMITEMP-FW-61F, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 3841.25
Distributor: a0N3400000Psy93EAB, Opportunity: Private Offer - SportLine America - SDWAN - HIIT, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 64696.35
Distributor: a0N3400000TSoY9EAL, Opportunity: Q4-Renewal-SmartGlobal-Defensoria del Pueblo, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 2738.32
Distributor: a0N3400000TSoY4EAL, Opportunity: Q3-FY24-New Business-Redes Tercer Milenio Ltda-T7 NETWORK-FG60F, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 556.0
Distributor: a0N3400000TSoUvEAL, Opportunity: PG // Renewal Poder Judicial de Mendoza adding 1 month, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 885.72
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-FY24-Cross Sell-INTEGRATIC-FG200F, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 3769.92
Distributor: a0N3400000LcbceEAB, Opportunity: ENEL (ORYGEN) - FW DC + Enlaces Satelitales, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 114821.26
Distributor: a0N3400000TSnE0EAL, Opportunity: LOCAL + STOCK - HAIZEA SICA - EXCELCOM -  FG, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 2254.5
Distributor: a0N3400000TSoUvEAL, Opportunity: VE_Digitel_Greincor_HA_FG400F SEC OPS, CloseDate: 2024-09-20, Area: SOLA - BPUV, Amount: 63230.44
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-RNWL-Allkom S.A.-BOLSA WEEK 38-CM-ARG2, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 10000.0
Distributor: a0N3400000TSoY9EAL, Opportunity: Q3-FY24-RNW-BOLSA-W35, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 394.72
Distributor: a0N3400000TSoY4EAL, Opportunity: Q3-FY24-Cross Sell-UNION  DE TECNOLOGIA ELECTRONICA S.A.S-FG60F, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 312.75
Distributor: a0N800000067B0yEAE, Opportunity: VE_Destilerias Unidas_DELTA P, CloseDate: 2024-09-20, Area: SOLA - BPUV, Amount: 9568.8
Distributor: a0N3400000LcbcjEAB, Opportunity: Marina del Sol-licencias, CloseDate: 2024-09-20, Area: SOLA - Chile, Amount: 1296.0
Distributor: a0N3400000TSoUvEAL, Opportunity: PLUSPETROL - Voucher NSE, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 200.0
Distributor: a0N30000000WGdSEAW, Opportunity: (Stock) Tea_Gobierno de Tierra del Fuego-FG-200F, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 2494.8
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-Cross Sell-Nixcom SAS-Cluster Pharma, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 2149.2
Distributor: a0N3400000NFd64EAD, Opportunity: MinSeg - Refresh FWEB y Renovacion - Acsys - Synnex, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 335677.98
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-FY24-New Business-PC TECNOLOGIA SAS-Optimizar Logistica-FG40F, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 391.0
Distributor: a0N3400000Psy93EAB, Opportunity: Q3_2024_Cross_Sell_Crecimiento FAZ_CGR, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 14500.2
Distributor: a0N3400000TSoY9EAL, Opportunity: Q3-FY24-RNW-BOLSA-W38, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 5459.27
Distributor: a0N800000069gpPEAQ, Opportunity: Q3-FY24-RNWL-DLS Acher LTD SA-5422322-1-CM-ARG2, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 293.13
Distributor: a0N30000000WGdSEAW, Opportunity: (stock) Tea_Mercedes-Benz Argentina-FG-100F, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 1215.0
Distributor: a0N3400000Psy93EAB, Opportunity: GRUPO AGORA - GRASCO- SDWAN - EYC, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 56968.52
Distributor: a0N30000000WGdSEAW, Opportunity: (Stock) Tea_Bodegas Chandon S.A.-FG-200F, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 2494.8
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-RNWL-FYO - Futuros y Opciones SA-FortiSwitches-CM-ARG1, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 1097.86
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-RNWL-Alpha 2000-CM-ARG2, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 218.3
Distributor: a0N2H000007lgX7UAI, Opportunity: Q3-FY24-New Business-Fundación Cristovision-SDBRANCH, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 1066.5
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-Cross Sell-DISTRIBUIDORA DE SOFTWARE Y MOVILIDAD S.A.S.-Centro comerciall Los Molinos-FAP, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 464.4
Distributor: a0N3400000TSoY9EAL, Opportunity: Q3-FY24-CROSS SELL-Thalos Technologies S.A.C.-NFR, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 2295.0
Distributor: a0N3400000TSoY9EAL, Opportunity: Entel - Santiago Rodriguez Banda - Secure SDWAN, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 10722.0
Distributor: a0N2H000007lgX7UAI, Opportunity: COOPETROL- - EFEYCE - SWITCHES STOCK, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 1788.48
Distributor: a0N2H00000VO1GxUAL, Opportunity: Q3-FY24-RNW-BOLSA-NETLOGIC, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 8000.0
Distributor: a0N3400000LcbceEAB, Opportunity: Antamina- Mineroducto x 10FG-40F SELL_OUT, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 3564.0
Distributor: a0N3400000Psy93EAB, Opportunity: OT-Puerto Antioquia-Netmask-OT Network, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 10064.1
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-RNWL-Allkom S.A.-BOLSA WEEK 38-CM-ARG1, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 3876.0
Distributor: a0N3400000LcbcZEAR, Opportunity: Universidad Popular Del Cesar-FortiMail, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 7104.5
Distributor: a0N3400000TSoUvEAL, Opportunity: STOCK + LOCAL - LAMB WESTON- GG + FG, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 2079.0
Distributor: a0N30000000WGdSEAW, Opportunity: LOCAL - MEDIAMONKS - GG - LIC, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 3664.24
Distributor: a0N3400000LcbceEAB, Opportunity: TDP - Doctor+ - FWs, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 10575.9
Distributor: a0N8000000Ajer4EAB, Opportunity: Q3FY24-Renewal-IBT Firewalls, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 49104.21
Distributor: a0N3400000NFd64EAD, Opportunity: SPF - Refresh Tecnologica - Synnex - Acsys, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 469864.69
Distributor: a0N8000000Ajer4EAB, Opportunity: ISA REP - Netdatel - FGR, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 22519.0
Distributor: a0N3400000LcbhyEAB, Opportunity: Royal America Internacional S.A.-, CloseDate: 2024-09-20, Area: SOLA - Chile, Amount: 13444.3
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-FY24-RNW - CENTRO DE CONTROL DEL CANCER - AMR, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 5433.435
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-RNW - Colsalud - ISR, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 1808.73
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-RNWL-Intercargo S.A.C.-CM-ARG1, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 2381.62
Distributor: a0N3400000TSoY9EAL, Opportunity: Q3FY24-Renewal-Grupo Okinawatec, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 1794.5
Distributor: a0N8000000Ajer4EAB, Opportunity: Q1-FY25-RNW-GRUPO OKINAWATEC SAC, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 2722.29
Distributor: a0N30000000WGdSEAW, Opportunity: Cotech - Grupo Konecta Argentina - FACs, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 16333.38
Distributor: a0N3400000TSoY9EAL, Opportunity: Sell Out - Entel - Sistemas Analiticos - NFGW, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 4709.1
Distributor: a0N2H00000WMYUgUAP, Opportunity: Private Offer - Google - Coinsa - Deception/SandBox/DevSec - FNA, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 57057.02
Distributor: a0N8000000Ajer4EAB, Opportunity: Network  Security, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 31531.88
